Count: 10000
1 10000.0000 0.0000
2 9999.9980 6.2832
3 9999.9921 12.5664
4 9999.9822 18.8495
5 9999.9684 25.1327
6 9999.9507 31.4159
7 9999.9289 37.6990
8 9999.9033 43.9822
9 9999.8737 50.2653
10 9999.8401 56.5484
11 9999.8026 62.8314
12 9999.7612 69.1145
13 9999.7158 75.3975
14 9999.6664 81.6805
15 9999.6131 87.9635
16 9999.5559 94.2464
17 9999.4947 100.5293
18 9999.4295 106.8121
19 9999.3605 113.0949
20 9999.2874 119.3777
21 9999.2104 125.6604
22 9999.1295 131.9431
23 9999.0446 138.2257
24 9998.9558 144.5082
25 9998.8630 150.7907
26 9998.7663 157.0732
27 9998.6657 163.3556
28 9998.5610 169.6379
29 9998.4525 175.9201
30 9998.3400 182.2023
31 9998.2235 188.4844
32 9998.1031 194.7664
33 9997.9788 201.0484
34 9997.8505 207.3303
35 9997.7182 213.6121
36 9997.5820 219.8938
37 9997.4419 226.1754
38 9997.2978 232.4569
39 9997.1498 238.7384
40 9996.9978 245.0197
41 9996.8419 251.3010
42 9996.6820 257.5821
43 9996.5182 263.8632
44 9996.3504 270.1441
45 9996.1787 276.4249
46 9996.0031 282.7057
47 9995.8235 288.9863
48 9995.6399 295.2668
49 9995.4524 301.5472
50 9995.2610 307.8274
51 9995.0656 314.1076
52 9994.8663 320.3876
53 9994.6630 326.6675
54 9994.4558 332.9473
55 9994.2446 339.2269
56 9994.0295 345.5064
57 9993.8104 351.7858
58 9993.5874 358.0650
59 9993.3605 364.3441
60 9993.1296 370.6230
61 9992.8947 376.9018
62 9992.6559 383.1805
63 9992.4132 389.4590
64 9992.1665 395.7373
65 9991.9159 402.0155
66 9991.6613 408.2935
67 9991.4028 414.5714
68 9991.1404 420.8491
69 9990.8740 427.1266
70 9990.6036 433.4040
71 9990.3293 439.6812
72 9990.0511 445.9582
73 9989.7689 452.2351
74 9989.4828 458.5117
75 9989.1928 464.7882
76 9988.8987 471.0645
77 9988.6008 477.3406
78 9988.2989 483.6166
79 9987.9931 489.8923
80 9987.6833 496.1678
81 9987.3696 502.4432
82 9987.0519 508.7183
83 9986.7303 514.9933
84 9986.4047 521.2680
85 9986.0752 527.5426
86 9985.7418 533.8169
87 9985.4044 540.0910
88 9985.0631 546.3649
89 9984.7179 552.6386
90 9984.3686 558.9121
91 9984.0155 565.1853
92 9983.6584 571.4584
93 9983.2974 577.7312
94 9982.9324 584.0038
95 9982.5635 590.2761
96 9982.1907 596.5482
97 9981.8139 602.8201
98 9981.4331 609.0917
99 9981.0485 615.3631
100 9980.6598 621.6343
101 9980.2673 627.9052
102 9979.8708 634.1759
103 9979.4704 640.4463
104 9979.0660 646.7164
105 9978.6577 652.9863
106 9978.2454 659.2560
107 9977.8292 665.5254
108 9977.4091 671.7945
109 9976.9850 678.0633
110 9976.5570 684.3319
111 9976.1251 690.6003
112 9975.6892 696.8683
113 9975.2494 703.1361
114 9974.8056 709.4036
115 9974.3579 715.6708
116 9973.9063 721.9377
117 9973.4507 728.2044
118 9972.9912 734.4707
119 9972.5277 740.7368
120 9972.0603 747.0026
121 9971.5890 753.2681
122 9971.1137 759.5332
123 9970.6345 765.7981
124 9970.1514 772.0627
125 9969.6643 778.3270
126 9969.1733 784.5910
127 9968.6784 790.8546
128 9968.1795 797.1180
129 9967.6767 803.3810
130 9967.1700 809.6437
131 9966.6593 815.9061
132 9966.1447 822.1682
133 9965.6261 828.4299
134 9965.1036 834.6914
135 9964.5772 840.9525
136 9964.0469 847.2132
137 9963.5126 853.4736
138 9962.9743 859.7337
139 9962.4322 865.9935
140 9961.8861 872.2529
141 9961.3361 878.5120
142 9960.7821 884.7707
143 9960.2243 891.0291
144 9959.6624 897.2871
145 9959.0967 903.5447
146 9958.5270 909.8020
147 9957.9534 916.0590
148 9957.3759 922.3156
149 9956.7944 928.5718
150 9956.2090 934.8276
151 9955.6196 941.0831
152 9955.0264 947.3382
153 9954.4292 953.5930
154 9953.8281 959.8474
155 9953.2230 966.1013
156 9952.6140 972.3549
157 9952.0011 978.6082
158 9951.3843 984.8610
159 9950.7635 991.1134
160 9950.1388 997.3655
161 9949.5102 1003.6171
162 9948.8776 1009.8684
163 9948.2411 1016.1193
164 9947.6007 1022.3697
165 9946.9564 1028.6198
166 9946.3081 1034.8695
167 9945.6559 1041.1187
168 9944.9998 1047.3675
169 9944.3398 1053.6160
170 9943.6758 1059.8640
171 9943.0079 1066.1115
172 9942.3361 1072.3587
173 9941.6603 1078.6054
174 9940.9807 1084.8518
175 9940.2971 1091.0977
176 9939.6096 1097.3431
177 9938.9181 1103.5881
178 9938.2227 1109.8327
179 9937.5235 1116.0769
180 9936.8202 1122.3206
181 9936.1131 1128.5638
182 9935.4020 1134.8067
183 9934.6871 1141.0490
184 9933.9682 1147.2910
185 9933.2453 1153.5324
186 9932.5186 1159.7734
187 9931.7879 1166.0140
188 9931.0533 1172.2541
189 9930.3148 1178.4937
190 9929.5724 1184.7329
191 9928.8260 1190.9716
192 9928.0758 1197.2098
193 9927.3216 1203.4476
194 9926.5635 1209.6849
195 9925.8015 1215.9217
196 9925.0355 1222.1580
197 9924.2656 1228.3938
198 9923.4919 1234.6292
199 9922.7142 1240.8641
200 9921.9325 1247.0984
201 9921.1470 1253.3323
202 9920.3576 1259.5657
203 9919.5642 1265.7986
204 9918.7669 1272.0310
205 9917.9657 1278.2629
206 9917.1606 1284.4943
207 9916.3516 1290.7252
208 9915.5386 1296.9556
209 9914.7218 1303.1854
210 9913.9010 1309.4148
211 9913.0763 1315.6436
212 9912.2477 1321.8719
213 9911.4152 1328.0997
214 9910.5788 1334.3270
215 9909.7384 1340.5537
216 9908.8942 1346.7799
217 9908.0460 1353.0056
218 9907.1939 1359.2307
219 9906.3380 1365.4553
220 9905.4781 1371.6794
221 9904.6143 1377.9029
222 9903.7465 1384.1259
223 9902.8749 1390.3483
224 9901.9994 1396.5702
225 9901.1199 1402.7915
226 9900.2366 1409.0123
227 9899.3493 1415.2325
228 9898.4581 1421.4522
229 9897.5631 1427.6713
230 9896.6641 1433.8899
231 9895.7612 1440.1078
232 9894.8544 1446.3252
233 9893.9437 1452.5421
234 9893.0291 1458.7583
235 9892.1106 1464.9740
236 9891.1881 1471.1891
237 9890.2618 1477.4036
238 9889.3316 1483.6176
239 9888.3974 1489.8309
240 9887.4594 1496.0437
241 9886.5174 1502.2559
242 9885.5716 1508.4675
243 9884.6219 1514.6785
244 9883.6682 1520.8889
245 9882.7106 1527.0986
246 9881.7492 1533.3078
247 9880.7838 1539.5164
248 9879.8146 1545.7244
249 9878.8414 1551.9318
250 9877.8644 1558.1385
251 9876.8834 1564.3447
252 9875.8985 1570.5502
253 9874.9098 1576.7551
254 9873.9171 1582.9593
255 9872.9206 1589.1630
256 9871.9201 1595.3660
257 9870.9158 1601.5684
258 9869.9075 1607.7702
259 9868.8954 1613.9713
260 9867.8794 1620.1718
261 9866.8594 1626.3717
262 9865.8356 1632.5709
263 9864.8079 1638.7694
264 9863.7763 1644.9673
265 9862.7408 1651.1646
266 9861.7014 1657.3612
267 9860.6581 1663.5572
268 9859.6109 1669.7525
269 9858.5598 1675.9471
270 9857.5048 1682.1411
271 9856.4460 1688.3344
272 9855.3832 1694.5271
273 9854.3165 1700.7191
274 9853.2460 1706.9104
275 9852.1716 1713.1010
276 9851.0933 1719.2910
277 9850.0111 1725.4803
278 9848.9250 1731.6689
279 9847.8350 1737.8568
280 9846.7411 1744.0440
281 9845.6433 1750.2306
282 9844.5417 1756.4164
283 9843.4362 1762.6016
284 9842.3267 1768.7861
285 9841.2134 1774.9698
286 9840.0963 1781.1529
287 9838.9752 1787.3353
288 9837.8502 1793.5169
289 9836.7214 1799.6979
290 9835.5887 1805.8781
291 9834.4520 1812.0576
292 9833.3116 1818.2364
293 9832.1672 1824.4145
294 9831.0189 1830.5919
295 9829.8668 1836.7686
296 9828.7108 1842.9445
297 9827.5509 1849.1197
298 9826.3871 1855.2941
299 9825.2195 1861.4679
300 9824.0479 1867.6409
301 9822.8725 1873.8131
302 9821.6932 1879.9847
303 9820.5100 1886.1554
304 9819.3230 1892.3255
305 9818.1321 1898.4948
306 9816.9373 1904.6633
307 9815.7386 1910.8311
308 9814.5361 1916.9981
309 9813.3296 1923.1644
310 9812.1193 1929.3299
311 9810.9052 1935.4947
312 9809.6871 1941.6587
313 9808.4652 1947.8219
314 9807.2394 1953.9844
315 9806.0098 1960.1460
316 9804.7762 1966.3069
317 9803.5388 1972.4671
318 9802.2976 1978.6264
319 9801.0524 1984.7850
320 9799.8034 1990.9428
321 9798.5505 1997.0998
322 9797.2938 2003.2560
323 9796.0332 2009.4114
324 9794.7687 2015.5661
325 9793.5003 2021.7199
326 9792.2281 2027.8730
327 9790.9520 2034.0252
328 9789.6721 2040.1766
329 9788.3883 2046.3273
330 9787.1006 2052.4771
331 9785.8090 2058.6261
332 9784.5136 2064.7743
333 9783.2144 2070.9217
334 9781.9112 2077.0682
335 9780.6043 2083.2140
336 9779.2934 2089.3589
337 9777.9787 2095.5030
338 9776.6601 2101.6463
339 9775.3377 2107.7887
340 9774.0114 2113.9303
