Count: 100
1 0.0000 0.0000
2 1.0000 0.0000
3 2.0000 0.0000
4 3.0000 0.0000
5 4.0000 0.0000
6 5.0000 0.0000
7 6.0000 0.0000
8 7.0000 0.0000
9 8.0000 0.0000
10 9.0000 0.0000
11 0.0000 1.0000
12 1.0000 1.0000
13 2.0000 1.0000
14 3.0000 1.0000
15 4.0000 1.0000
16 5.0000 1.0000
17 6.0000 1.0000
18 7.0000 1.0000
19 8.0000 1.0000
20 9.0000 1.0000
21 0.0000 2.0000
22 1.0000 2.0000
23 2.0000 2.0000
24 3.0000 2.0000
25 4.0000 2.0000
26 5.0000 2.0000
27 6.0000 2.0000
28 7.0000 2.0000
29 8.0000 2.0000
30 9.0000 2.0000
31 0.0000 3.0000
32 1.0000 3.0000
33 2.0000 3.0000
34 3.0000 3.0000
35 4.0000 3.0000
36 5.0000 3.0000
37 6.0000 3.0000
38 7.0000 3.0000
39 8.0000 3.0000
40 9.0000 3.0000
41 0.0000 4.0000
42 1.0000 4.0000
43 2.0000 4.0000
44 3.0000 4.0000
45 4.0000 4.0000
46 5.0000 4.0000
47 6.0000 4.0000
48 7.0000 4.0000
49 8.0000 4.0000
50 9.0000 4.0000
51 0.0000 5.0000
52 1.0000 5.0000
53 2.0000 5.0000
54 3.0000 5.0000
55 4.0000 5.0000
56 5.0000 5.0000
57 6.0000 5.0000
58 7.0000 5.0000
59 8.0000 5.0000
60 9.0000 5.0000
61 0.0000 6.0000
62 1.0000 6.0000
63 2.0000 6.0000
64 3.0000 6.0000
65 4.0000 6.0000
66 5.0000 6.0000
67 6.0000 6.0000
68 7.0000 6.0000
69 8.0000 6.0000
70 9.0000 6.0000
71 0.0000 7.0000
72 1.0000 7.0000
73 2.0000 7.0000
74 3.0000 7.0000
75 4.0000 7.0000
76 5.0000 7.0000
77 6.0000 7.0000
78 7.0000 7.0000
79 8.0000 7.0000
80 9.0000 7.0000
81 0.0000 8.0000
82 1.0000 8.0000
83 2.0000 8.0000
84 3.0000 8.0000
85 4.0000 8.0000
86 5.0000 8.0000
87 6.0000 8.0000
88 7.0000 8.0000
89 8.0000 8.0000
90 9.0000 8.0000
91 0.0000 9.0000
92 1.0000 9.0000
93 2.0000 9.0000
94 3.0000 9.0000
95 4.0000 9.0000
96 5.0000 9.0000
97 6.0000 9.0000
98 7.0000 9.0000
99 8.0000 9.0000
100 9.0000 9.0000
